study,trial,mean,ci95max,ci95min,accuracy
1,2,-5.09,1.43,-11.6,54.33
1,3,-3.51,2.82,-9.84,54.45
1,4,-2.01,4.14,-8.14,54.59
1,5,-0.59,5.42,-6.58,54.71
1,6,0.72,6.58,-5.14,54.83
1,7,1.96,7.72,-3.81,54.98
1,8,3.11,8.77,-2.57,55.03
1,9,4.16,9.79,-1.42,55.27
1,10,5.15,10.77,-0.39,55.46
1,11,6.07,11.6,0.58,55.54
1,12,6.92,12.4,1.43,55.69
1,13,7.73,13.18,2.25,55.81
1,14,8.44,13.83,2.95,55.92
1,15,9.1,14.45,3.67,56.04
1,16,9.63,15.06,4.29,56.19
1,17,10.21,15.56,4.81,56.33
1,18,10.63,15.99,5.32,56.47
1,19,11.07,16.37,5.72,56.62
1,20,11.43,16.72,6.13,56.76
1,21,11.74,17.02,6.43,56.9
1,22,11.95,17.25,6.75,57.02
1,23,12.25,17.44,6.96,57.14
1,24,12.43,17.63,7.18,57.28
1,25,12.52,17.73,7.31,57.39
1,26,12.62,17.82,7.46,57.54
1,27,12.71,17.87,7.55,57.68
1,28,12.71,17.87,7.6,57.83
1,29,12.71,17.87,7.6,57.98
1,30,12.71,17.82,7.6,58.1
1,31,12.65,17.78,7.55,58.26
1,32,12.62,17.68,7.51,58.34
1,33,12.53,17.6,7.42,58.48
1,34,12.41,17.48,7.31,58.61
1,35,12.24,17.35,7.18,58.76
1,36,12.15,17.21,7.04,58.9
1,37,11.96,17.07,6.85,59.04
1,38,11.81,16.93,6.71,59.19
1,39,11.68,16.78,6.56,59.32
1,40,11.49,16.61,6.34,59.47
1,41,11.29,16.46,6.19,59.58
1,42,11.2,16.32,6.09,59.7
1,43,11.02,16.17,5.83,59.84
1,44,10.82,16.07,5.66,59.97
1,45,10.74,15.95,5.49,60.12
1,46,10.57,15.83,5.34,60.26
1,47,10.46,15.75,5.25,60.41
1,48,10.36,15.66,5.12,60.55
1,49,10.27,15.62,5.02,60.69
1,50,10.27,15.57,4.93,60.82
1,51,10.23,15.57,4.85,60.94
1,52,10.22,15.61,4.79,61.09
1,53,10.27,15.7,4.79,61.21
